wikipedia/word break,aws-c7a.4xlarge,308.56,2026-06-10T00:00:00Z,5f59e7d
wikipedia/word break + word_like,aws-c7a.4xlarge,306.64,2026-06-10T00:00:00Z,5f59e7d
wikipedia/sentence break,aws-c7a.4xlarge,368.23,2026-06-10T00:00:00Z,5f59e7d
analysis/tokenize only (case sensitive),aws-c7a.4xlarge,245.59,2026-06-10T00:00:00Z,5f59e7d
analysis/+ lowercase,aws-c7a.4xlarge,190.18,2026-06-10T00:00:00Z,5f59e7d
analysis/+ stopwords,aws-c7a.4xlarge,164.08,2026-06-10T00:00:00Z,5f59e7d
analysis/+ stemming,aws-c7a.4xlarge,76.670,2026-06-10T00:00:00Z,5f59e7d
analysis/full pipeline,aws-c7a.4xlarge,74.407,2026-06-10T00:00:00Z,5f59e7d
wikipedia/word break,aws-c7g.4xlarge,267.67,2026-06-10T00:00:00Z,5f59e7d
wikipedia/word break + word_like,aws-c7g.4xlarge,253.56,2026-06-10T00:00:00Z,5f59e7d
wikipedia/sentence break,aws-c7g.4xlarge,277.64,2026-06-10T00:00:00Z,5f59e7d
analysis/tokenize only (case sensitive),aws-c7g.4xlarge,185.78,2026-06-10T00:00:00Z,5f59e7d
analysis/+ lowercase,aws-c7g.4xlarge,152.05,2026-06-10T00:00:00Z,5f59e7d
analysis/+ stopwords,aws-c7g.4xlarge,136.77,2026-06-10T00:00:00Z,5f59e7d
analysis/+ stemming,aws-c7g.4xlarge,60.977,2026-06-10T00:00:00Z,5f59e7d
analysis/full pipeline,aws-c7g.4xlarge,59.858,2026-06-10T00:00:00Z,5f59e7d
wikipedia/word break,aws-c7i.4xlarge,234.75,2026-06-10T00:00:00Z,5f59e7d
wikipedia/word break + word_like,aws-c7i.4xlarge,231.91,2026-06-10T00:00:00Z,5f59e7d
wikipedia/sentence break,aws-c7i.4xlarge,296.92,2026-06-10T00:00:00Z,5f59e7d
analysis/tokenize only (case sensitive),aws-c7i.4xlarge,190.37,2026-06-10T00:00:00Z,5f59e7d
analysis/+ lowercase,aws-c7i.4xlarge,155.90,2026-06-10T00:00:00Z,5f59e7d
analysis/+ stopwords,aws-c7i.4xlarge,132.69,2026-06-10T00:00:00Z,5f59e7d
analysis/+ stemming,aws-c7i.4xlarge,65.652,2026-06-10T00:00:00Z,5f59e7d
analysis/full pipeline,aws-c7i.4xlarge,62.788,2026-06-10T00:00:00Z,5f59e7d
wikipedia/word break,azure-Standard_D8ads_v6,319.81,2026-06-10T00:00:00Z,5f59e7d
wikipedia/word break + word_like,azure-Standard_D8ads_v6,316.67,2026-06-10T00:00:00Z,5f59e7d
wikipedia/sentence break,azure-Standard_D8ads_v6,368.78,2026-06-10T00:00:00Z,5f59e7d
analysis/tokenize only (case sensitive),azure-Standard_D8ads_v6,231.68,2026-06-10T00:00:00Z,5f59e7d
analysis/+ lowercase,azure-Standard_D8ads_v6,186.59,2026-06-10T00:00:00Z,5f59e7d
analysis/+ stopwords,azure-Standard_D8ads_v6,161.05,2026-06-10T00:00:00Z,5f59e7d
analysis/+ stemming,azure-Standard_D8ads_v6,79.237,2026-06-10T00:00:00Z,5f59e7d
analysis/full pipeline,azure-Standard_D8ads_v6,75.749,2026-06-10T00:00:00Z,5f59e7d
wikipedia/word break,azure-Standard_D8ds_v6,254.19,2026-06-10T00:00:00Z,5f59e7d
wikipedia/word break + word_like,azure-Standard_D8ds_v6,236.89,2026-06-10T00:00:00Z,5f59e7d
wikipedia/sentence break,azure-Standard_D8ds_v6,304.39,2026-06-10T00:00:00Z,5f59e7d
analysis/tokenize only (case sensitive),azure-Standard_D8ds_v6,184.21,2026-06-10T00:00:00Z,5f59e7d
analysis/+ lowercase,azure-Standard_D8ds_v6,155.93,2026-06-10T00:00:00Z,5f59e7d
analysis/+ stopwords,azure-Standard_D8ds_v6,133.30,2026-06-10T00:00:00Z,5f59e7d
analysis/+ stemming,azure-Standard_D8ds_v6,68.636,2026-06-10T00:00:00Z,5f59e7d
analysis/full pipeline,azure-Standard_D8ds_v6,64.897,2026-06-10T00:00:00Z,5f59e7d
wikipedia/word break,azure-Standard_D8pds_v6,339.14,2026-06-10T00:00:00Z,5f59e7d
wikipedia/word break + word_like,azure-Standard_D8pds_v6,314.92,2026-06-10T00:00:00Z,5f59e7d
wikipedia/sentence break,azure-Standard_D8pds_v6,385.87,2026-06-10T00:00:00Z,5f59e7d
analysis/tokenize only (case sensitive),azure-Standard_D8pds_v6,236.43,2026-06-10T00:00:00Z,5f59e7d
analysis/+ lowercase,azure-Standard_D8pds_v6,193.18,2026-06-10T00:00:00Z,5f59e7d
analysis/+ stopwords,azure-Standard_D8pds_v6,173.31,2026-06-10T00:00:00Z,5f59e7d
analysis/+ stemming,azure-Standard_D8pds_v6,73.935,2026-06-10T00:00:00Z,5f59e7d
analysis/full pipeline,azure-Standard_D8pds_v6,74.661,2026-06-10T00:00:00Z,5f59e7d
wikipedia/word break,c4d-standard-16-lssd,338.41,2026-06-10T00:00:00Z,5f59e7d
wikipedia/word break + word_like,c4d-standard-16-lssd,333.91,2026-06-10T00:00:00Z,5f59e7d
wikipedia/sentence break,c4d-standard-16-lssd,393.80,2026-06-10T00:00:00Z,5f59e7d
analysis/tokenize only (case sensitive),c4d-standard-16-lssd,277.82,2026-06-10T00:00:00Z,5f59e7d
